starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 08 23:39:44 2025	1752007184	0	20	20	18
Tue Jul 08 23:39:44 2025	1752007184	0	21	21	20
Tue Jul 08 23:39:45 2025	1752007185	0	21	21	19
Tue Jul 08 23:39:42 2025	1752007182	0	24	24	24
Tue Jul 08 23:39:44 2025	1752007184	0	28	28	27
Tue Jul 08 23:39:44 2025	1752007184	0	30	30	29
Tue Jul 08 23:39:45 2025	1752007185	0	32	32	32
Tue Jul 08 23:39:45 2025	1752007185	0	34	34	33
Tue Jul 08 23:39:45 2025	1752007185	0	37	37	37
Tue Jul 08 23:39:35 2025	1752007175	0	39	40	27
Tue Jul 08 23:39:47 2025	1752007187	0	40	40	39
Tue Jul 08 23:39:35 2025	1752007175	0	40	40	40
Tue Jul 08 23:39:42 2025	1752007182	0	45	45	45
Tue Jul 08 23:39:45 2025	1752007185	0	45	45	45
Tue Jul 08 23:39:47 2025	1752007187	0	48	48	47
Tue Jul 08 23:39:44 2025	1752007184	0	48	49	48
Tue Jul 08 23:39:44 2025	1752007184	0	48	49	48
Tue Jul 08 23:39:44 2025	1752007184	0	49	49	49
Tue Jul 08 23:39:44 2025	1752007184	0	51	51	51
Tue Jul 08 23:39:43 2025	1752007183	0	53	54	53
Tue Jul 08 23:39:45 2025	1752007185	0	54	54	54
Tue Jul 08 23:39:42 2025	1752007182	0	55	55	55
Tue Jul 08 23:39:42 2025	1752007182	0	58	58	56
Tue Jul 08 23:39:42 2025	1752007182	0	58	58	57
Tue Jul 08 23:39:44 2025	1752007184	0	58	58	57
Tue Jul 08 23:39:42 2025	1752007182	0	58	58	58
Tue Jul 08 23:39:42 2025	1752007182	0	64	64	64
Tue Jul 08 23:39:45 2025	1752007185	0	64	64	62
Tue Jul 08 23:39:47 2025	1752007187	0	64	64	64
Tue Jul 08 23:39:44 2025	1752007184	0	65	65	62
Tue Jul 08 23:39:47 2025	1752007187	0	66	66	65
Tue Jul 08 23:39:42 2025	1752007182	0	71	71	70
Tue Jul 08 23:39:45 2025	1752007185	0	72	72	71
Tue Jul 08 23:39:42 2025	1752007182	0	73	73	72
Tue Jul 08 23:39:43 2025	1752007183	3	71	73	70
Tue Jul 08 23:39:44 2025	1752007184	0	75	75	60
Tue Jul 08 23:39:47 2025	1752007187	0	75	75	72
Tue Jul 08 23:39:47 2025	1752007187	0	77	77	77
Tue Jul 08 23:39:43 2025	1752007183	4	74	77	73
Tue Jul 08 23:39:42 2025	1752007182	0	78	78	78
Tue Jul 08 23:39:45 2025	1752007185	0	79	79	78
Tue Jul 08 23:39:42 2025	1752007182	0	80	80	80
Tue Jul 08 23:39:42 2025	1752007182	0	80	80	79
Tue Jul 08 23:39:44 2025	1752007184	0	81	81	80
Tue Jul 08 23:39:42 2025	1752007182	0	81	81	81
Tue Jul 08 23:39:42 2025	1752007182	0	81	81	81
Tue Jul 08 23:39:43 2025	1752007183	2	81	83	80
Tue Jul 08 23:39:47 2025	1752007187	0	83	83	83
Tue Jul 08 23:39:44 2025	1752007184	0	83	83	83
