starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 08 23:38:12 2025	1752007092	0	33	33	33
Tue Jul 08 23:37:56 2025	1752007076	0	42	42	31
Tue Jul 08 23:38:10 2025	1752007090	0	53	53	53
Tue Jul 08 23:38:12 2025	1752007092	0	57	57	21
Tue Jul 08 23:38:01 2025	1752007081	1	58	59	57
Tue Jul 08 23:38:01 2025	1752007081	1	63	64	58
Tue Jul 08 23:38:11 2025	1752007091	0	69	69	69
Tue Jul 08 23:38:12 2025	1752007092	0	71	71	70
Tue Jul 08 23:38:12 2025	1752007092	0	78	78	77
Tue Jul 08 23:38:12 2025	1752007092	0	79	79	78
Tue Jul 08 23:38:12 2025	1752007092	0	79	79	78
Tue Jul 08 23:38:10 2025	1752007090	0	80	80	78
Tue Jul 08 23:38:12 2025	1752007092	0	84	84	83
Tue Jul 08 23:38:12 2025	1752007092	0	86	86	85
Tue Jul 08 23:38:04 2025	1752007084	0	86	86	86
Tue Jul 08 23:38:12 2025	1752007092	0	86	86	86
Tue Jul 08 23:38:04 2025	1752007084	0	88	88	87
Tue Jul 08 23:38:10 2025	1752007090	0	88	88	85
Tue Jul 08 23:38:04 2025	1752007084	0	88	88	87
Tue Jul 08 23:37:57 2025	1752007077	0	89	89	85
Tue Jul 08 23:38:12 2025	1752007092	0	95	95	95
Tue Jul 08 23:38:12 2025	1752007092	0	95	96	95
Tue Jul 08 23:38:12 2025	1752007092	0	99	99	75
Tue Jul 08 23:38:11 2025	1752007091	0	107	107	107
Tue Jul 08 23:38:12 2025	1752007092	0	110	111	109
Tue Jul 08 23:38:12 2025	1752007092	0	111	111	106
Tue Jul 08 23:38:01 2025	1752007081	1	111	112	111
Tue Jul 08 23:38:11 2025	1752007091	0	113	113	112
Tue Jul 08 23:38:11 2025	1752007091	0	113	113	107
Tue Jul 08 23:37:58 2025	1752007078	0	114	114	113
Tue Jul 08 23:38:11 2025	1752007091	0	116	117	116
Tue Jul 08 23:38:04 2025	1752007084	5	119	123	118
Tue Jul 08 23:38:00 2025	1752007080	0	124	124	124
Tue Jul 08 23:37:56 2025	1752007076	5	123	128	123
Tue Jul 08 23:38:11 2025	1752007091	0	128	128	127
Tue Jul 08 23:37:58 2025	1752007078	0	128	129	128
Tue Jul 08 23:38:11 2025	1752007091	0	129	129	129
Tue Jul 08 23:38:10 2025	1752007090	0	130	130	123
Tue Jul 08 23:38:12 2025	1752007092	0	132	132	131
